# Exercice 1 - Detection des tailles de cache (Pointer Chasing)
# Technique: Pointer chasing pour desactiver le prefetcher
# Iterations par mesure: 1000000
# Repetitions: 5
taille_ko,temps_ns
1,1.07
2,1.07
4,1.07
8,1.07
12,1.08
16,1.07
24,1.07
32,1.07
48,1.08
64,3.22
96,3.23
128,3.23
192,3.25
256,3.24
384,3.25
512,3.63
768,5.22
1024,5.94
1280,7.53
1536,9.18
2048,12.07
3072,13.39
4096,14.05
6144,14.64
8192,15.48
12288,16.83
16384,19.50
20480,27.72
24576,33.54
28672,42.02
32768,51.03
40960,60.52
49152,67.67
65536,79.62
